model_id,model_id_int,group,is_scene,stl_size_mb,num_views,has_caption,num_vertices,num_faces,volume,complexity_score
0000,0,train_group_1_with_text,False,0.00966644287109375,26,True,22,40,221225.36399999997,0.00088
0001,1,train_group_1_with_text,False,0.006771087646484375,26,True,16,28,170527.88474999982,0.000448
0002,2,train_group_1_with_text,False,0.13609695434570312,26,True,278,564,4142.368454090335,0.156792
0003,3,train_group_1_with_text,False,0.10135269165039062,26,True,208,420,1280.3357171583848,0.08736
0004,4,train_group_1_with_text,False,0.006771087646484375,26,True,16,28,18435.44700000001,0.000448
0005,5,train_group_1_with_text,False,0.050201416015625,26,True,104,208,147.738518075759,0.021632
0006,6,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,864000.0,9.6e-05
0007,7,train_group_1_with_text,False,0.006771087646484375,26,True,16,28,114709.44799999987,0.000448
0008,8,train_group_1_with_text,False,0.008701324462890625,26,True,20,36,16198.612763999998,0.00072
0009,9,train_group_1_with_text,False,0.12451553344726562,26,True,260,516,276435.10028835427,0.13416
0010,10,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,5002151.285999991,9.6e-05
0011,11,train_group_1_with_text,False,0.039585113525390625,26,True,80,164,8879.769102358721,0.01312
0012,12,train_group_1_with_text,False,0.1158294677734375,26,True,240,480,22250.460424928286,0.1152
0013,13,train_group_1_with_text,False,0.10617828369140625,26,True,222,440,1101.8818315037863,0.09768
0014,14,train_group_1_with_text,False,0.06660842895507812,26,True,138,276,1178.6642329321512,0.038088
0015,15,train_group_1_with_text,False,0.06853866577148438,26,True,140,284,3045.2781770839297,0.03976
0016,16,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,1728.0000000000002,9.6e-05
0017,17,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,27366.571862813435,9.6e-05
0018,18,train_group_1_with_text,False,0.035724639892578125,26,True,76,148,117238.49454903371,0.011248
0019,19,train_group_1_with_text,False,0.0077362060546875,26,True,16,32,5242.700000000029,0.000512
0020,20,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,960000.0,9.6e-05
0021,21,train_group_1_with_text,False,0.0077362060546875,26,True,16,32,181281.89549999963,0.000512
0022,22,train_group_1_with_text,False,0.11389923095703125,26,True,236,472,26523.01707425537,0.111392
0023,23,train_group_1_with_text,False,0.024143218994140625,26,True,52,100,7169.323331489326,0.0052
0024,24,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,192375000.0,9.6e-05
0025,25,train_group_1_with_text,False,0.010631561279296875,26,True,24,44,5518.130291809783,0.001056
0026,26,train_group_1_with_text,False,0.00580596923828125,26,True,14,24,17780000000.0,0.000336
0027,27,train_group_1_with_text,False,0.050201416015625,26,True,104,208,896.2277121683314,0.021632
0028,28,train_group_1_with_text,False,0.043445587158203125,26,True,92,180,5906.609153426646,0.01656
0029,29,train_group_1_with_text,False,0.060817718505859375,26,True,126,252,874.1635287991821,0.031752
0030,30,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,294967.15199999994,9.6e-05
0031,31,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,184359.1664422202,9.6e-05
0032,32,train_group_1_with_text,False,0.008701324462890625,26,True,20,36,16500.0,0.00072
0033,33,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,105666.63654209801,9.6e-05
0034,34,train_group_1_with_text,False,0.104248046875,26,True,216,432,176254.30493578067,0.093312
0035,35,train_group_1_with_text,False,0.0072536468505859375,26,True,17,30,106515.91600000001,0.00051
0036,36,train_group_1_with_text,False,0.041515350341796875,26,True,86,172,10607.700628974562,0.014792
0037,37,train_group_1_with_text,False,0.004840850830078125,26,True,12,20,685143.60734736,0.00024
0038,38,train_group_1_with_text,False,0.024143218994140625,26,True,52,100,428.748975272842,0.0052
0039,39,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,2216545.98559106,9.6e-05
0040,40,train_group_1_with_text,False,0.05213165283203125,26,True,110,216,9160990.877453076,0.02376
0041,41,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,9298.809397199997,9.6e-05
0042,42,train_group_1_with_text,False,0.04441070556640625,26,True,94,184,270349.7942467741,0.017296
0043,43,train_group_1_with_text,False,0.00194549560546875,26,True,6,8,65548.25600000001,4.8e-05
0044,44,train_group_1_with_text,False,0.065643310546875,26,True,138,272,2749.221827110774,0.037536
0045,45,train_group_1_with_text,False,0.0617828369140625,26,True,130,256,139991.5826482378,0.03328
0046,46,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,7000.0,9.6e-05
0047,47,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,23914.4618484,9.6e-05
0048,48,train_group_1_with_text,False,0.06757354736328125,26,True,142,280,1209219.6298797068,0.03976
0049,49,train_group_1_with_text,False,0.002910614013671875,26,True,8,12,160875.00000000006,9.6e-05
0050,50,train_group_1_with_text,False,0.1544342041015625,26,True,322,640,5389.748044139976,0.20608
0051,51,train_group_1_with_text,False,0.06853866577148438,26,True,142,284,44197.119677161456,0.040328
0052,52,train_group_1_with_text,False,0.006771087646484375,26,True,16,28,106515.98051600003,0.000448
0053,53,train_group_1_with_text,False,0.0077362060546875,26,True,16,32,7625.0,0.000512
